open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1609761600000,30757.33,32190.01,30472.48,31758.38,90364.403,1609775999999,2837395397.20354,635467,45065.668,1415463244.44587,0
1609776000000,31755.02,31940.0,30661.66,31689.27,71952.622,1609790399999,2248876552.88376,504137,35594.199,1112917506.24123,0
1609790400000,31691.15,32075.19,30900.0,32031.07,41477.736,1609804799999,1305935952.95711,314532,20917.591,659005388.87552,0
1609804800000,32029.55,32900.0,31155.17,31217.58,71235.479,1609819199999,2298973483.34645,476539,33677.924,1088155573.53266,0
1609819200000,31218.96,31575.46,29900.0,30844.23,103862.061,1609833599999,3204760711.51995,667177,51216.068,1581299099.0239,0
1609833600000,30844.25,31850.0,30840.0,31824.53,48811.217,1609847999999,1533758228.41115,371275,25259.526,793916740.55427,0
1609848000000,31816.47,32450.05,31142.74,32133.79,60353.728,1609862399999,1922691630.59501,444853,28920.041,921587043.75236,0
1609862400000,32130.05,34300.0,31802.25,33747.0,88437.876,1609876799999,2927684059.63465,647112,45518.734,1507255211.87547,0
1609876800000,33747.0,34500.0,33405.0,33999.52,61020.472,1609891199999,2071485345.04477,470184,29824.789,1012775890.09962,0
1609891200000,33999.51,34244.66,33356.46,34182.5,51226.021,1609905599999,1734122386.87309,365878,24389.74,826090641.98582,0
1609905600000,34182.5,35948.66,34173.2,34718.61,101468.715,1609919999999,3562750251.63361,712362,50821.716,1785058838.05492,0
1609920000000,34716.88,35350.0,33650.0,34994.66,78586.335,1609934399999,2709090325.71417,584490,39245.094,1353363071.29202,0
1609934400000,34994.67,35195.53,34113.48,34606.4,52222.198,1609948799999,1808369372.73302,445188,26246.365,909098479.9433,0
1609948800000,34606.39,35749.67,34371.33,34861.7,62878.183,1609963199999,2207182054.75127,498096,32183.868,1130391148.00732,0
1609963200000,34861.71,37037.51,34330.0,36823.68,97638.378,1609977599999,3493701660.4603,737766,48350.105,1731678805.00579,0
1609977600000,36825.77,37795.42,36500.0,37555.54,65150.225,1609991999999,2417331906.10363,505968,32215.17,1195764198.78883,0
1609992000000,37554.98,37790.36,36751.0,36906.64,44904.742,1610006399999,1674110468.03064,379046,21413.174,798497830.95065,0
1610006400000,36909.86,38055.0,36337.36,37920.0,50755.317,1610020799999,1887926608.30237,436158,26067.733,970174268.13992,0
1610020800000,37919.72,39050.0,37558.8,39049.99,71581.266,1610035199999,2741980465.86405,589254,36143.765,1385050608.43785,0
1610035200000,39050.0,40565.62,36690.56,39128.05,211417.177,1610049599999,8233855051.70188,1410913,104489.892,4072161374.26891,0
1610049600000,39128.04,40129.87,38426.23,39498.92,76339.181,1610063999999,3000355004.78909,615369,37615.234,1478838115.03495,0
1610064000000,39498.32,39818.77,36539.77,38374.71,94854.418,1610078399999,3612280184.19113,734147,45165.356,1720876660.89959,0
1610078400000,38374.72,39200.0,37615.0,38965.76,50960.45,1610092799999,1963159150.20768,430171,24742.318,953520196.95275,0
1610092800000,38965.8,41800.0,38250.87,41399.98,97659.08,1610107199999,3930151898.28147,796149,50785.842,2043950894.39851,0
1610107200000,41399.98,42125.51,39726.37,40879.4,114343.463,1610121599999,4706240252.16467,892399,54854.11,2258926988.66573,0
1610121600000,40877.97,41689.84,39800.0,40426.44,74496.712,1610135999999,3038049320.88726,634468,36465.392,1487610869.97125,0
1610136000000,40426.44,41000.0,38655.0,40637.23,85766.703,1610150399999,3417385048.76265,759677,42331.149,1687979655.15545,0
1610150400000,40638.91,41045.93,39545.0,40275.85,47033.184,1610164799999,1893230055.25312,408459,22466.75,904415138.33268,0
1610164800000,40275.84,40555.0,38733.28,39683.38,52466.203,1610179199999,2074896304.91037,467689,25350.143,1002904342.55719,0
1610179200000,39683.38,41375.0,39330.24,40639.04,54381.641,1610193599999,2202511815.23173,496003,27134.663,1098885457.92617,0
1610193600000,40639.69,41539.88,40250.0,40600.0,44530.016,1610207999999,1821393735.44151,439770,21265.166,870359342.90132,0
1610208000000,40600.01,40980.48,39850.0,40769.42,32067.013,1610222399999,1298469164.34428,347825,15295.963,619824730.00519,0
1610222400000,40769.42,40892.0,39901.0,40136.04,30404.748,1610236799999,1230021938.22584,330180,14592.63,590491779.47543,0
1610236800000,40136.05,41412.12,40125.56,40393.5,43262.566,1610251199999,1768618905.47105,370492,21765.361,890022608.52977,0
1610251200000,40388.17,41153.43,40100.0,41056.69,29130.303,1610265599999,1185583572.02437,280668,15533.011,632387163.16838,0
1610265600000,41056.69,41226.26,38847.01,39233.99,71766.663,1610279999999,2878434658.73756,619850,32937.123,1321768633.30348,0
1610280000000,39233.99,40118.09,38500.0,39723.0,66000.225,1610294399999,2608796145.17036,582504,32954.551,1303588281.57877,0
1610294400000,39723.0,39813.81,37184.9,37531.91,107252.238,1610308799999,4111531927.08755,871284,50309.742,1929109614.30594,0
1610308800000,37533.15,39080.0,35268.0,38221.67,119347.053,1610323199999,4474128226.06016,974260,58217.435,2185119634.32362,0
1610323200000,38200.01,38322.18,33600.0,35473.52,150147.346,1610337599999,5410498032.8207,1163386,71068.802,2563036624.48639,0
1610337600000,35469.47,36003.03,32600.0,34399.95,185211.133,1610351999999,6348293415.39661,1436486,90751.202,3112855347.65224,0
1610352000000,34399.95,36399.99,34077.0,34218.66,99708.144,1610366399999,3517802922.2956,826610,48841.535,1723998907.90629,0
1610366400000,34225.1,35146.14,31146.15,31618.49,204420.217,1610380799999,6772314892.36433,1708551,99046.328,3283213307.02581,0
1610380800000,31618.49,33570.58,30448.0,32282.08,169217.959,1610395199999,5395594306.73994,1456147,84228.513,2686437895.4958,0
1610395200000,32284.74,35619.0,31441.65,35408.46,97570.852,1610409599999,3297653025.73675,892476,49760.21,1683329965.57185,0
1610409600000,35406.92,35536.55,33727.32,35020.0,61524.382,1610423999999,2132609820.60346,603765,30010.706,1040368316.16559,0
