open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
1609459200000,28923.63,29470.0,28690.17,29278.4,11560.456553,1609473599999,337730077.5570941,262441,6354.750111,185675832.60984153,0
1609473600000,29278.41,29395.0,28806.54,29092.83,7308.910274,1609487999999,212959808.12097633,196772,3437.053243,100170352.33508396,0
1609488000000,29092.84,29402.57,28872.24,29313.49,8283.705319,1609502399999,241843536.24794328,195352,4554.094883,132989690.4973169,0
1609502400000,29313.49,29600.0,29030.14,29188.67,11794.949515,1609516799999,346262815.4359047,269572,5950.099715,174770117.20762047,0
1609516800000,29188.67,29360.0,28624.57,29029.04,9850.965345,1609531199999,286439126.2365756,237490,4347.017575,126457429.93102376,0
1609531200000,29029.04,29338.89,28880.37,29331.69,5383.938005,1609545599999,157291625.56337875,153283,2812.786198,82184321.96421748,0
1609545600000,29331.7,29469.0,28946.53,29351.95,7393.028526,1609559999999,216316507.267056,166125,3690.672938,108013435.66927,0
1609560000000,29351.95,29820.5,29220.0,29750.0,9865.642845,1609574399999,291957821.46943516,202762,6322.783094,187156091.77645305,0
1609574400000,29751.47,29899.0,29473.91,29755.0,9226.804608,1609588799999,274369857.0248629,197876,4393.189362,130664922.088974,0
1609588800000,29754.99,31800.0,29741.39,31691.29,34028.973399,1609603199999,1050932902.1150658,568973,18735.443501,577688213.6588075,0
1609603200000,31691.09,33300.0,31616.42,33027.2,34849.617798,1609617599999,1137521994.5657008,558167,17910.376313,584851099.4984124,0
1609617600000,33027.2,33061.37,30300.0,32178.33,34629.806186,1609631999999,1102743081.2294204,552019,16393.840038,521960961.1952289,0
1609632000000,32176.45,32884.09,31962.99,32573.87,10890.302907,1609646399999,354166675.80315745,228605,5439.988071,176900512.45244795,0
1609646400000,32576.11,34778.11,32450.0,34452.34,26286.126296,1609660799999,890390017.737399,468152,13754.822482,465470008.52080655,0
1609660800000,34451.78,34670.41,33403.0,34413.53,22651.532867,1609675199999,772577341.6201434,438165,10987.166837,374834425.48906136,0
1609675200000,34413.53,34600.0,32727.0,33506.62,23240.077177,1609689599999,785083115.4879142,430705,11010.248268,372146448.65953416,0
1609689600000,33505.15,33822.69,32267.0,32772.21,22427.187643,1609703999999,739419782.9814188,432712,10953.33222,361219054.1825026,0
1609704000000,32775.1,33861.92,32600.0,33000.05,15462.33986,1609718399999,515961491.8619836,371359,7604.774993,253857984.6274934,0
1609718400000,33000.05,33588.0,32400.25,33505.16,14536.79062,1609732799999,480464953.8616408,327255,7073.924013,233831013.31267703,0
1609732800000,33505.15,33600.0,31505.0,32068.84,21398.871909,1609747199999,701401904.4192685,414734,11016.529498,361097511.557936,0
1609747200000,32068.84,32567.88,28130.0,30743.06,46591.471025,1609761599999,1417817418.0990508,773993,21800.712599,663484828.91132,0
1609761600000,30742.99,32185.67,30454.25,31745.72,26592.539453,1609775999999,834727120.3831356,470560,12617.515823,396060237.7851907,0
